id,name,aliases,category,usage,properties,representative_makers,japanese_makers,source_type,source_company,source_title,source_url,checked_at,source_notes,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Re,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Re_estimated,Re_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
s10c,S10C,JIS S10C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約99.0,,,,,,,0.07-0.13,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s12c,S12C,JIS S12C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約99.0,,,,,,,0.09-0.15,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s15c,S15C,JIS S15C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約99.0,,,,,,,0.12-0.18,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s17c,S17C,JIS S17C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.9,,,,,,,0.14-0.20,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s20c,S20C,JIS S20C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.9,,,,,,,0.17-0.23,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s22c,S22C,JIS S22C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.9,,,,,,,0.19-0.25,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s25c,S25C,JIS S25C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.9,,,,,,,0.22-0.28,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s28c,S28C,JIS S28C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.8,,,,,,,0.25-0.31,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s30c,S30C,JIS S30C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.8,,,,,,,0.27-0.33,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s33c,S33C,JIS S33C,炭素鋼,機械部品・シャフト・一般構造部材,,,,standard,Standards reference,JIS carbon steel composition reference,https://en.wikipedia.org/wiki/SAE_steel_grades,2026-06-14,Standards-derived carbon steel chemistry; confirm against JIS G 4051 for procurement. Iron balance shown as a reference midpoint estimate from listed major elements.,,,,約98.8,,,,,,,0.30-0.36,0.30-0.90,0.15-0.35,,,,,,0.030 max,0.035 max,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
