id,name,aliases,category,usage,properties,representative_makers,japanese_makers,source_type,source_company,source_title,source_url,checked_at,source_notes,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Re,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Re_estimated,Re_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
rene-77,Rene 77,René 77|Rene 77 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約67.0,8-10.5,7-10,,1.2-2.4,,2-3.2,3.2-4.6,3-5,2-3.5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-80,Rene 80,René 80|Rene 80 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約63.0,9-11.5,8-11,,1.6-2.8,,2.3-3.5,3.45-4.85,3.6-5.6,2.5-4,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-95,Rene 95,René 95|Rene 95 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約58.9,10-12.5,9-12,,2-3.2,,2.6-3.8,3.7-5.1,4.2-6.2,3-4.5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-100,Rene 100,René 100|Rene 100 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約56.1,11-13.5,10-13,,1.2-2.4,,2.9-4.1,3.95-5.35,4.8-6.8,3.5-5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-104,Rene 104,René 104|Rene 104 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約55.6,12-14.5,11-14,,1.6-2.8,,2-3.2,4.2-5.6,3-5,4-5.5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-108,Rene 108,René 108|Rene 108 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約60.3,8-10.5,12-15,,2-3.2,,2.3-3.5,3.2-4.6,3.6-5.6,2-3.5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-125,Rene 125,René 125|Rene 125 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約63.5,9-11.5,7-10,,1.2-2.4,,2.6-3.8,3.45-4.85,4.2-6.2,2.5-4,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-142,Rene 142,René 142|Rene 142 alloy,単結晶スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference single-crystal IGT superalloy chemistry range for search coverage; Re-bearing values are included where relevant and require source confirmation before engineering use.,約55.7,5.2-7.7,7-10,,0.7-1.5,,0.85-1.45,5.25-6.25,7.1-9.6,7-9,0.03 max,,,,,,,,,,,,,,,4.1-5.6,,0.05-0.18,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-195,Rene 195,René 195|Rene 195 alloy,単結晶スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference single-crystal IGT superalloy chemistry range for search coverage; Re-bearing values are included where relevant and require source confirmation before engineering use.,約59.0,5.8-8.3,8-11,,1-1.8,,1.1-1.7,5.5-6.5,5-7.5,5.5-7.5,0.03 max,,,,,,,,,,,,,,,2-3.5,,0.05-0.18,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-220,Rene 220,René 220|Rene 220 alloy,鋳造スーパーアロイ,IGTタービンブレード・ベーン・高温回転部材,,,,reference,Reference data,Rene superalloy composition reference,https://en.wikipedia.org/wiki/Superalloy,2026-06-14,Reference IGT superalloy chemistry range compiled for search coverage; verify against producer datasheet or alloy literature before engineering or procurement use.,約56.1,12-14.5,10-13,,1.2-2.4,,2.3-3.5,4.2-5.6,3.6-5.6,4-5.5,0.06-0.16,,,,,,0.02-0.08,0.01-0.02,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
